Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_134333,1,0.00,24.5
20250521_134333,2,3.67,34.7
20250521_134333,3,3.77,34.7
20250521_134333,4,5.21,28.8
20250521_134333,5,5.31,28.8
20250521_134333,6,5.56,69.1
20250521_134333,7,5.71,69.1
20250521_134333,8,5.61,69.1
20250521_134333,9,6.72,23.3
20250521_134333,10,6.82,23.3
20250521_134333,11,7.09,71.1
20250521_134333,12,7.24,71.1
20250521_134333,13,7.14,71.1
20250521_134333,14,8.17,36.4
20250521_134333,15,8.27,36.4
20250521_134333,16,8.55,76.3
20250521_134333,17,8.70,76.3
20250521_134333,18,8.60,76.3
20250521_134333,19,9.42,11.8
20250521_134333,20,9.52,11.8
20250521_134333,21,9.46,14.1
20250521_134333,22,9.56,7.8
20250521_134333,23,9.58,9.9
20250521_134333,24,10.00,72.0
20250521_134333,25,10.15,72.0
20250521_134333,26,10.05,72.0
20250521_134333,27,10.94,21.5

Statistic,Value
Total Points,27
Average Speed (km/h),44.9
Maximum Speed (km/h),76.3
Minimum Speed (km/h),7.8
