Session ID,Timestamp File,Transit Number,Relative Start Time (s),Avg Transit Speed (km/h)
1,20250521_164138,1,0.00,48.8
1,20250521_164138,2,1.48,34.7
1,20250521_164138,3,3.03,52.7
1,20250521_164138,4,4.52,44.8
1,20250521_164138,5,6.01,49.2
1,20250521_164138,6,9.00,50.0
1,20250521_164138,7,10.50,65.1
1,20250521_164138,8,12.00,54.3
1,20250521_164138,9,13.46,71.4
1,20250521_164138,10,14.80,44.3
1,20250521_164138,11,17.43,53.5
1,20250521_164138,12,20.13,60.9
1,20250521_164138,13,22.78,50.9
1,20250521_164138,14,25.68,54.2
1,20250521_164138,15,28.61,56.0
1,20250521_164138,16,31.54,47.3
1,20250521_164138,17,32.97,69.3
1,20250521_164138,18,34.36,43.3
1,20250521_164138,19,35.65,60.8
1,20250521_164138,20,36.95,49.9

Statistic,Value
Total Transits Recorded,20
Overall Average Speed (km/h),53.1
Maximum Avg Transit Speed (km/h),71.4
Minimum Avg Transit Speed (km/h),34.7
