Timestamp,Record #,Relative Time (sec),Speed (km/h)
20250521_224530,1,0.00,85.0
20250521_224530,2,1.57,99.1
20250521_224530,3,2.95,97.8
20250521_224530,4,4.44,79.6
20250521_224530,5,5.92,97.2
20250521_224530,6,8.91,103.3
20250521_224530,7,10.43,116.3
20250521_224530,8,13.36,107.3
20250521_224530,9,14.91,100.6
20250521_224530,10,17.85,106.1
20250521_224530,11,22.47,101.7
20250521_224530,12,24.01,9.0
20250521_224530,13,25.33,97.3
20250521_224530,14,26.89,101.1
20250521_224530,15,28.34,125.6
20250521_224530,16,29.42,0.3
20250521_224530,17,29.86,27.4
20250521_224530,18,31.13,102.6

Statistics,Value
Direction,right_to_left
Total Count,18
Average Speed (km/h),86.5
Maximum Speed (km/h),125.6
Minimum Speed (km/h),0.3
