Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_152950,1,0.00,50.5
1,20250523_152950,2,1.42,63.3
1,20250523_152950,3,8.59,60.3
1,20250523_152950,4,10.04,60.5
1,20250523_152950,5,13.10,44.1
1,20250523_152950,6,14.61,83.0
1,20250523_152950,7,17.62,57.9
1,20250523_152950,8,18.89,38.4
1,20250523_152950,9,21.53,67.4
1,20250523_152950,10,22.81,39.6
1,20250523_152950,11,24.19,42.9
1,20250523_152950,12,27.21,23.4
1,20250523_152950,13,28.42,41.4
1,20250523_152950,14,29.90,36.9
1,20250523_152950,15,31.36,60.2
1,20250523_152950,16,32.91,35.2
1,20250523_152950,17,34.32,46.0
1,20250523_152950,18,35.71,37.3

Statistic,Value
Total Points,18
Average Speed (km/h),49.3
Maximum Speed (km/h),83.0
Minimum Speed (km/h),23.4
