Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250512_175140,1,0.00,38.0
20250512_175140,2,1.08,40.6
20250512_175140,3,2.14,50.4
20250512_175140,4,3.04,54.6
20250512_175140,5,3.96,59.3
20250512_175140,6,4.85,45.1
20250512_175140,7,5.28,29.6
20250512_175140,8,13.16,42.7
20250512_175140,9,14.18,69.8
20250512_175140,10,15.09,59.4
20250512_175140,11,16.01,60.4
20250512_175140,12,16.91,61.3
20250512_175140,13,19.53,28.3
20250512_175140,14,21.10,27.8
20250512_175140,15,22.24,44.5
20250512_175140,16,29.54,44.5
20250512_175140,17,30.56,66.7
20250512_175140,18,31.41,53.3
20250512_175140,19,32.27,69.8
20250512_175140,20,33.12,47.8
20250512_175140,21,36.53,77.9
20250512_175140,22,36.58,98.1
20250512_175140,23,36.69,57.8
20250512_175140,24,36.72,81.6
20250512_175140,25,36.87,49.8
20250512_175140,26,36.94,31.1
20250512_175140,27,37.00,48.5

Statistic,Value
Total Points,27
Average Speed (km/h),53.3
Maximum Speed (km/h),98.1
Minimum Speed (km/h),27.8
