Session ID,Timestamp,Point Number,Relative Time (s),Speed (km/h)
1,20250512_184627,1,0.00,43.0
1,20250512_184627,2,6.30,32.2
1,20250512_184627,3,7.88,35.4
1,20250512_184627,4,9.33,38.4
1,20250512_184627,5,10.71,27.5
1,20250512_184627,6,12.11,27.8
1,20250512_184627,7,13.49,45.5
1,20250512_184627,8,14.83,44.3
1,20250512_184627,9,16.30,44.2
1,20250512_184627,10,17.69,35.8
1,20250512_184627,11,18.98,50.1
1,20250512_184627,12,20.23,32.1
1,20250512_184627,13,21.44,52.9
1,20250512_184627,14,54.49,30.4
1,20250512_184627,15,56.02,35.8
1,20250512_184627,16,57.36,49.0
1,20250512_184627,17,58.70,40.1
1,20250512_184627,18,60.06,38.5
1,20250512_184627,19,62.31,27.8
1,20250512_184627,20,64.01,25.8
1,20250512_184627,21,65.86,43.8
1,20250512_184627,22,70.17,19.4
1,20250512_184627,23,71.76,49.4
1,20250512_184627,24,73.11,45.1
1,20250512_184627,25,75.69,18.7
1,20250512_184627,26,77.38,41.0

Statistic,Value
Total Points,26
Average Speed (km/h),37.5
Maximum Speed (km/h),52.9
Minimum Speed (km/h),18.7
