Session ID,Timestamp File,Transit Number,Relative Start Time (s),Avg Transit Speed (km/h)
1,20250521_155054,1,0.00,44.2
1,20250521_155054,2,1.57,48.8
1,20250521_155054,3,2.94,43.1
1,20250521_155054,4,4.44,39.7
1,20250521_155054,5,5.91,48.9
1,20250521_155054,6,7.38,68.1
1,20250521_155054,7,8.91,52.1
1,20250521_155054,8,10.43,58.2
1,20250521_155054,9,11.87,52.1
1,20250521_155054,10,13.36,53.3
1,20250521_155054,11,14.91,49.8
1,20250521_155054,12,16.34,47.9
1,20250521_155054,13,17.86,49.1
1,20250521_155054,14,19.41,62.1
1,20250521_155054,15,20.93,52.3
1,20250521_155054,16,22.47,50.4
1,20250521_155054,17,25.33,52.7
1,20250521_155054,18,26.89,57.7
1,20250521_155054,19,28.34,64.0
1,20250521_155054,20,31.15,38.8
1,20250521_155054,21,32.44,56.3
1,20250521_155054,22,33.83,59.8
1,20250521_155054,23,35.15,45.9
1,20250521_155054,24,36.45,61.8
1,20250521_155054,25,37.82,54.9

Statistic,Value
Total Transits Recorded,25
Overall Average Speed (km/h),52.5
Maximum Avg Transit Speed (km/h),68.1
Minimum Avg Transit Speed (km/h),38.8
