Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_150007,1,0.00,44.6
1,20250523_150007,2,1.48,47.9
1,20250523_150007,3,2.89,47.3
1,20250523_150007,4,4.36,46.8
1,20250523_150007,5,5.86,39.1
1,20250523_150007,6,7.39,37.4
1,20250523_150007,7,8.87,39.7
1,20250523_150007,8,13.36,39.5
1,20250523_150007,9,14.82,58.2
1,20250523_150007,10,16.37,47.9
1,20250523_150007,11,17.89,62.4
1,20250523_150007,12,19.38,65.8
1,20250523_150007,13,20.87,44.6
1,20250523_150007,14,22.33,69.9
1,20250523_150007,15,23.84,56.6
1,20250523_150007,16,25.35,74.6
1,20250523_150007,17,26.93,55.0
1,20250523_150007,18,28.43,50.8
1,20250523_150007,19,29.93,57.5
1,20250523_150007,20,32.91,45.7
1,20250523_150007,21,34.39,53.5
1,20250523_150007,22,35.88,50.8
1,20250523_150007,23,37.36,50.9

Statistic,Value
Total Points,23
Average Speed (km/h),51.6
Maximum Speed (km/h),74.6
Minimum Speed (km/h),37.4
