Session ID,Timestamp,Point Number,Relative Time (s),Speed (km/h)
1,20250512_183746,1,0.00,22.6
1,20250512_183746,2,1.58,41.4
1,20250512_183746,3,7.60,34.6
1,20250512_183746,4,9.14,35.8
1,20250512_183746,5,10.53,42.7
1,20250512_183746,6,11.87,23.2
1,20250512_183746,7,13.22,26.0
1,20250512_183746,8,14.53,44.7
1,20250512_183746,9,15.84,41.4
1,20250512_183746,10,17.25,47.9
1,20250512_183746,11,18.58,36.7
1,20250512_183746,12,19.82,50.9
1,20250512_183746,13,21.03,29.6
1,20250512_183746,14,22.19,54.4
1,20250512_183746,15,54.43,31.3
1,20250512_183746,16,55.93,33.5
1,20250512_183746,17,57.27,49.0
1,20250512_183746,18,58.60,38.5
1,20250512_183746,19,59.91,39.9
1,20250512_183746,20,61.44,32.0
1,20250512_183746,21,63.09,27.5
1,20250512_183746,22,64.85,44.4
1,20250512_183746,23,69.03,17.6
1,20250512_183746,24,70.56,50.7
1,20250512_183746,25,71.85,44.1
1,20250512_183746,26,74.36,18.6
1,20250512_183746,27,75.99,43.1

Statistic,Value
Total Points,27
Average Speed (km/h),37.1
Maximum Speed (km/h),54.4
Minimum Speed (km/h),17.6
