Session ID,Timestamp,Point Number,Relative Time (s),Speed (km/h)
1,20250509_160739,1,0.00,52.8
1,20250509_160739,2,1.25,33.5
1,20250509_160739,3,2.39,48.0
1,20250509_160739,4,3.66,37.6
1,20250509_160739,5,4.80,73.2
1,20250509_160739,6,6.03,32.3
1,20250509_160739,7,7.20,37.8
1,20250509_160739,8,8.45,27.6
1,20250509_160739,9,9.66,49.1
1,20250509_160739,10,10.96,29.0
1,20250509_160739,11,12.08,46.0
1,20250509_160739,12,13.42,29.4
1,20250509_160739,13,14.56,41.8
1,20250509_160739,14,15.83,31.3
1,20250509_160739,15,16.98,60.3
1,20250509_160739,16,18.22,28.9
1,20250509_160739,17,19.37,40.7
1,20250509_160739,18,20.60,30.7
1,20250509_160739,19,21.82,43.1
1,20250509_160739,20,23.10,31.1
1,20250509_160739,21,24.30,44.0
1,20250509_160739,22,25.56,36.8
1,20250509_160739,23,26.89,17.5
1,20250509_160739,24,27.95,30.3
1,20250509_160739,25,29.12,42.2
1,20250509_160739,26,30.33,28.8
1,20250509_160739,27,31.49,47.2

Statistic,Value
Total Points,27
Average Speed (km/h),38.9
Maximum Speed (km/h),73.2
Minimum Speed (km/h),17.5
