Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250513_144423,1,0.00,8.4
20250513_144423,2,1.22,9.8
20250513_144423,3,1.37,21.3
20250513_144423,4,3.82,36.6
20250513_144423,5,3.86,157.6
20250513_144423,6,3.92,450.8
20250513_144423,7,3.97,175.5
20250513_144423,8,4.01,225.9
20250513_144423,9,4.12,213.8
20250513_144423,10,4.17,146.9
20250513_144423,11,4.19,143.8
20250513_144423,12,4.26,101.7
20250513_144423,13,4.32,109.1
20250513_144423,14,4.38,166.4
20250513_144423,15,4.42,158.0
20250513_144423,16,4.46,162.3
20250513_144423,17,4.48,174.6
20250513_144423,18,4.51,157.9
20250513_144423,19,4.56,335.2
20250513_144423,20,4.62,101.0
20250513_144423,21,4.68,101.3
20250513_144423,22,4.75,160.4
20250513_144423,23,4.82,134.6
20250513_144423,24,4.86,145.1
20250513_144423,25,4.92,204.0
20250513_144423,26,5.02,59.3
20250513_144423,27,8.88,65.0
20250513_144423,28,9.09,6.1
20250513_144423,29,9.26,16.0
20250513_144423,30,10.06,9.9
20250513_144423,31,11.19,5.2
20250513_144423,32,11.38,6.9

Statistic,Value
Total Points,32
Average Speed (km/h),124.1
Maximum Speed (km/h),450.8
Minimum Speed (km/h),5.2
